"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年8月30日","185.00","189.40","189.40","179.70","26.87M","-0.91%"
"2022年8月29日","186.70","188.00","191.00","184.00","49.83M","2.64%"
"2022年8月26日","181.90","180.30","183.80","177.70","28.59M","2.59%"
"2022年8月25日","177.30","164.90","179.50","164.90","27.92M","8.04%"
"2022年8月24日","164.10","170.90","171.20","163.10","24.18M","-2.73%"
"2022年8月23日","168.70","171.10","173.40","167.10","16.91M","-1.40%"
"2022年8月22日","171.10","166.40","175.50","165.70","18.76M","0.71%"
"2022年8月19日","169.90","169.40","174.40","165.40","20.46M","-0.70%"
"2022年8月18日","171.10","173.00","174.90","169.50","18.85M","0.65%"
"2022年8月17日","170.00","169.60","173.20","165.70","38.08M","3.34%"
"2022年8月16日","164.50","184.30","184.50","159.50","66.97M","-9.07%"
"2022年8月15日","180.90","179.00","185.00","178.50","14.58M","1.01%"
"2022年8月12日","179.10","177.80","179.90","175.90","14.32M","1.53%"
"2022年8月11日","176.40","172.00","176.90","171.10","20.64M","4.01%"
"2022年8月10日","169.60","174.70","176.50","167.00","23.56M","-3.64%"
"2022年8月09日","176.00","179.70","180.00","174.20","16.00M","-2.00%"
"2022年8月08日","179.60","181.10","183.50","178.50","12.69M","-2.13%"
"2022年8月05日","183.50","186.90","187.00","182.60","10.32M","-0.16%"
"2022年8月04日","183.80","181.50","184.40","180.30","15.53M","3.78%"
"2022年8月03日","177.10","179.10","180.50","175.40","19.05M","0.51%"
"2022年8月02日","176.20","175.00","177.30","171.90","28.28M","-2.11%"
"2022年8月01日","180.00","177.30","181.50","173.70","17.92M","2.10%"
