"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年8月30日","137.36","148.20","148.43","134.73","5.62M","-6.76%"
"2022年8月29日","147.32","148.27","151.67","147.25","2.30M","-0.26%"
"2022年8月26日","147.71","154.27","155.48","147.47","3.32M","-2.19%"
"2022年8月25日","151.02","144.75","151.34","143.15","4.09M","8.73%"
"2022年8月24日","138.90","131.64","140.97","131.27","2.37M","3.60%"
"2022年8月23日","134.07","133.20","135.19","130.40","2.15M","1.99%"
"2022年8月22日","131.46","130.93","133.81","130.33","2.53M","1.80%"
"2022年8月19日","129.13","129.77","130.72","128.11","2.14M","0.62%"
"2022年8月18日","128.33","131.16","132.00","127.05","2.53M","-3.25%"
"2022年8月17日","132.64","134.27","135.35","130.88","1.50M","-2.57%"
"2022年8月16日","136.14","137.03","137.75","134.92","1.59M","-2.42%"
"2022年8月15日","139.51","137.21","140.36","135.89","1.63M","-0.61%"
"2022年8月12日","140.36","135.21","140.43","135.00","1.31M","0.70%"
"2022年8月11日","139.38","140.00","143.77","138.25","1.35M","1.19%"
"2022年8月10日","137.74","136.10","137.96","133.61","1.68M","1.58%"
"2022年8月09日","135.60","135.13","138.00","134.24","1.14M","-0.59%"
"2022年8月08日","136.40","138.00","139.15","136.10","1.29M","-1.03%"
"2022年8月05日","137.82","136.29","138.43","135.51","1.16M","-1.61%"
"2022年8月04日","140.07","140.15","142.88","137.79","1.69M","2.52%"
"2022年8月03日","136.63","132.40","137.30","129.72","2.54M","1.84%"
"2022年8月02日","134.16","129.85","136.20","128.50","3.59M","-0.63%"
"2022年8月01日","135.01","133.04","135.75","130.28","2.11M","-1.14%"
