"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年8月30日","323.60","321.00","323.80","314.00","14.04M","0.19%"
"2022年8月29日","323.00","319.00","324.80","316.80","12.39M","-0.37%"
"2022年8月26日","324.20","322.00","330.40","321.40","18.58M","-0.25%"
"2022年8月25日","325.00","313.40","325.80","313.40","19.44M","4.84%"
"2022年8月24日","310.00","314.00","315.40","307.60","13.05M","-0.90%"
"2022年8月23日","312.80","309.00","318.00","309.00","13.53M","0.71%"
"2022年8月22日","310.60","330.60","330.60","308.80","14.78M","-1.40%"
"2022年8月19日","315.00","308.00","319.80","308.00","23.27M","0.77%"
"2022年8月18日","312.60","312.00","318.00","309.40","32.21M","3.10%"
"2022年8月17日","303.20","294.20","305.80","294.20","17.62M","0.07%"
"2022年8月16日","303.00","302.00","305.80","292.60","23.53M","0.87%"
"2022年8月15日","300.40","308.00","308.00","299.00","11.62M","-1.25%"
"2022年8月12日","304.20","338.20","338.20","300.40","10.98M","0.20%"
"2022年8月11日","303.60","290.00","304.40","290.00","14.86M","2.71%"
"2022年8月10日","295.60","327.80","327.80","292.20","15.36M","-0.81%"
"2022年8月09日","298.00","300.00","304.20","296.40","14.19M","-0.47%"
"2022年8月08日","299.40","303.00","305.80","298.20","15.05M","-2.67%"
"2022年8月05日","307.60","319.80","319.80","304.20","16.44M","-1.41%"
"2022年8月04日","312.00","305.80","312.00","305.40","19.79M","3.11%"
"2022年8月03日","302.60","290.00","309.00","290.00","27.40M","2.58%"
"2022年8月02日","295.00","298.00","298.00","288.00","42.69M","-1.54%"
"2022年8月01日","299.60","305.00","305.00","299.60","38.56M","-2.35%"
